sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 27 Product descriptions and nominal compositions for wrought alloy steels (AMS designations)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"AMS designation";"product form (a)";"C (%)";"Cr (%)";"Ni (%)";"Mo (%)";"other";"nearest 
proprietary or 
AISI-SAE grade";"UNS number";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"101";"6434C";"Plate, sheet, strip";"0.33-0.38";"0.78";"1.8";"0.35";"0.20 V";"4335 mod";"K33517";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"102";"6435C";"Plate, sheet, strip (premium quality, consumable electrode remelted, annealed)";"0.33-0.38";"0.78";"1.8";"0.35";"0.20 V";"4335 mod";"K33517";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"103";"6436B";"Plate, sheet, strip (low alloy, heat resistant, annealed)";"0.25-0.30";"1.25";"";"0.5";"0.65 Si 0.85 V";"17-22A(V)";"K22770";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"104";"6437D";"Plate, sheet, strip";"0.38-0.43";"5";"";"1.3";"0.5 V";"H-ll";"T20811";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"105";"6438C";"Plate, sheet, strip (premium quality, consumable electrode remelted)";"0.45-0.50";"1.05";"0.55";"1";"0.11 V";"D6AC";"K24728";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"106";"6439B";"Sheet, strip, plate (annealed, consumable vacuum melted)";"0.42-0.48";"1.05";"0.55";"1";"0.12 V";"D6AC";"K24729";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"107";"6440J";"Bars, forgings tubing (for bearing applications)";"0.98-1.10";"1.45";"";"";"";"52100";"G52986";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"108";"6441G";"Superseded by AMS 6440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"109";"6442E";"Bars, forgings (for bearing applications)";"0.98-1.10";"0.5";"";"";"";"50100";"G50986";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"110";"6443E";"Bars, forgings, tubing (consumable vacuum melted)";"0.98-1.10";"1";"";"";"";"51100";"G51986";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
