sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 10 Estimated mechanical properties and machinability ratings of resulfurized carbon steel bars";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"SAE and/or 
AISI No.";"UNS no.";"type of 
processing";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 
50 mm (2 in) (%)";"reduction 
in area (%)";"hardness, HB (unitless)";"average machinability 
rating (a) (%)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1108";"G11080";"Hot rolled";"340";"50";"190";"27.5";"30";"50";"101";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"1108";"G11080";"Cold drawn";"390";"56";"320";"47";"20";"40";"121";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"1117";"G11170";"Hot rolled";"430";"62";"230";"34";"23";"47";"121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"1117";"G11170";"Cold drawn";"480";"69";"400";"58";"15";"40";"137";"90";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"1132";"G11320";"Hot rolled";"570";"83";"310";"45.5";"16";"40";"167";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"1132";"G11320";"Cold drawn";"630";"92";"530";"77";"12";"35";"183";"75";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"1137";"G11370";"Hot rolled";"610";"88";"330";"48";"15";"35";"179";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"1137";"G11370";"Cold drawn";"680";"98";"570";"82";"10";"30";"197";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"1140";"G11400";"Hot rolled";"540";"79";"300";"43.5";"16";"40";"156";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"1140";"G11400";"Cold drawn";"610";"88";"510";"74";"12";"35";"170";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"1141";"G11410";"Hot rolled";"650";"94";"360";"51.5";"15";"35";"187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"1141";"G11410";"Cold drawn";"720";"105.1";"610";"88";"10";"30";"212";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"1144";"G11440";"Hot rolled";"670";"97";"370";"53";"15";"35";"197";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"1144";"G11440";"Cold drawn";"740";"108";"620";"90";"10";"30";"217";"80";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"1146";"G11460";"Hot rolled";"590";"85";"320";"47";"15";"40";"170";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"1146";"G11460";"Cold drawn";"650";"94";"550";"80";"12";"35";"187";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"1151";"G11510";"Hot rolled";"630";"92";"340";"50.5";"15";"35";"187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"1151";"G11510";"Cold drawn";"700";"102";"590";"86";"10";"30";"207";"65";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"1211";"G12110";"Hot rolled";"380";"55";"230";"33";"25";"45";"121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"1211";"G12110";"Cold drawn";"520";"75";"400";"58";"10";"35";"163";"95";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"1212";"G12120";"Hot rolled";"390";"56";"230";"33.5";"25";"45";"121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"1212";"G12120";"Cold drawn";"540";"78";"410";"60";"10";"35";"167";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"1213";"G12130";"Hot rolled";"390";"56";"230";"33.5";"25";"45";"121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"1213";"G12130";"Cold drawn";"540";"78";"410";"60";"10";"35";"167";"135";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"12L14";"G12144";"Hot rolled";"390";"57";"230";"34";"22";"45";"121";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"12L14";"G12144";"Cold drawn";"540";"78";"410";"60";"10";"35";"163";"170";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys © 1990 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
