sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 11 Minimum mechanical properties of martensitic stainless steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"type";"UNS no.";"product form (a)";"condition";"tensile 
strength (MPa)";"tensile 
strength (ksi)";"0.2% yield 
strength (MPa)";"0.2% yield 
strength (ksi)";"elongation (%)";"reduction 
in area (%)";"Rockwell 
hardness";"ASTM 
specification";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"403";"S40300";"bar, forgings";"Annealed, hot finished";"485";"70";"275";"40";"20";"45";"";"A 276, A 473, A 479";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"403";"S40300";"R";"Annealed, cold finished";"485";"70";"275";"40";"16";"45";"";"A 276";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"403";"S40300";"bar";"Intermediate temper, hot finished";"690";"100";"550";"80";"15";"45";"";"A 276";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"403";"S40300";"bar";"Intermediate temper, cold finished";"690";"100";"550";"80";"12";"40";"";"A 276";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"403";"S40300";"bar";"Hard temper, hot or cold finished";"825";"120";"620";"90";"12";"40";"";"A 276";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"403";"S40300";"wire";"Annealed";"485";"70";"275";"40";"20";"45";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"403";"S40300";"wire";"Annealed, cold finished";"485";"70";"275";"40";"16";"45";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"403";"S40300";"wire";"Intermediate temper, cold finished";"690";"100";"550";"80";"12";"40";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"403";"S40300";"wire";"Hard temper, cold finished";"825";"120";"620";"90";"12";"40";"";"A 580";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"403";"S40300";"plate, sheet, strip";"Annealed";"485";"70";"205";"30";"25(b)";"";"88 HRB max";"A 176";"";"";"";"";"";"";"";"";"";"";"";"";""
