sep=;
"Title: ASM Handbook, Volume 01 - Properties and Selection: Irons, Steels, and High-Performance Alloys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 14 Typical tensile properties of annealed type 300 austenitic stainless steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"type";"form";"orientation";"temperature (°C)";"temperature (°F)";"tensile 
strength (MPa)";"tensile 
strength (ksi)";"yield 
strength (MPa)";"yield 
strength (ksi)";"elongation (%)";"reduction 
in area (%)";"notch tensile 
strength (a) (MPa)";"notch tensile 
strength (a) (ksi)";"Young's 
modulus (GPa)";"Young's 
modulus (106 psi)";"";"";"";"";"";"";"";"";"";""
"1";"303";"bar";"longitudinal orientation";"24";"75";"730";"106";"425";"61.4";"67";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"303";"bar";"longitudinal orientation";"-78";"-108";"1190";"172";"435";"63.3";"43";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"303";"bar";"longitudinal orientation";"-196";"-320";"1660";"240";"465";"67.3";"36";"54";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"303";"bar";"longitudinal orientation";"-253";"-423";"2060";"298";"570";"82.6";"33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"303";"bar";"longitudinal orientation";"-269";"-452";"1830";"266";"";"";"30";"37";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"304";"sheet";"longitudinal orientation";"24";"75";"660";"95.5";"295";"42.5";"75";"";"715";"104";"";"";"";"";"";"";"";"";"";"";"";""
"7";"304";"sheet";"longitudinal orientation";"-196";"-320";"1625";"236";"380";"55";"42";"";"1450";"210";"";"";"";"";"";"";"";"";"";"";"";""
"8";"304";"sheet";"longitudinal orientation";"-253";"-423";"1800";"261";"425";"62";"31";"";"1160";"168";"";"";"";"";"";"";"";"";"";"";"";""
"9";"304";"sheet";"longitudinal orientation";"-269";"-452";"1700";"247";"570";"82.5";"30";"";"1230";"178";"";"";"";"";"";"";"";"";"";"";"";""
"10";"304";"plate";"longitudinal orientation";"24";"75";"590";"85.9";"330";"47.6";"64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"304";"plate";"longitudinal orientation";"-253";"-423";"1720";"250";"410";"59.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"304";"bar";"longitudinal orientation";"24";"75";"640";"92.8";"235";"33.9";"76";"82";"710";"103";"";"";"";"";"";"";"";"";"";"";"";""
"13";"304";"bar";"longitudinal orientation";"-78";"-108";"1150";"167";"300";"43.2";"50";"76";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"304";"bar";"longitudinal orientation";"-196";"-320";"1520";"221";"280";"40.9";"45";"66";"1060";"153";"";"";"";"";"";"";"";"";"";"";"";""
"15";"304";"bar";"longitudinal orientation";"-253";"-423";"1860";"270";"420";"60.6";"27";"54";"1120";"162";"";"";"";"";"";"";"";"";"";"";"";""
"16";"304";"bar";"longitudinal orientation";"-269";"-452";"1720";"250";"400";"58.2";"30";"55";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"304L";"sheet";"longitudinal orientation";"24";"75";"660";"95.9";"295";"42.8";"56";"";"730";"106";"";"";"";"";"";"";"";"";"";"";"";""
"18";"304L";"sheet";"longitudinal orientation";"-78";"-108";"980";"142";"250";"36";"43";"";"1030";"150";"";"";"";"";"";"";"";"";"";"";"";""
"19";"304L";"sheet";"longitudinal orientation";"-196";"-320";"1460";"212";"275";"39.6";"37";"";"1420";"206";"";"";"";"";"";"";"";"";"";"";"";""
"20";"304L";"sheet";"longitudinal orientation";"-253";"-423";"1750";"254";"305";"44.5";"33";"";"1290";"187";"";"";"";"";"";"";"";"";"";"";"";""
"21";"304L";"sheet";"longitudinal orientation";"-269";"-452";"1590";"230";"405";"58.5";"29";"";"1460";"212";"";"";"";"";"";"";"";"";"";"";"";""
"22";"304L";"sheet";"transverse orientation";"-269";"-452";"1540";"223";"410";"59.5";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"304L";"bar";"longitudinal orientation";"24";"75";"660";"95.5";"405";"58.9";"78";"81";"";"";"190";"27.6";"";"";"";"";"";"";"";"";"";""
"24";"304L";"bar";"longitudinal orientation";"-78";"-108";"1060";"153";"435";"62.8";"70";"74";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"304L";"bar";"longitudinal orientation";"-196";"-320";"1510";"219";"460";"66.6";"43";"66";"";"";"205";"29.7";"";"";"";"";"";"";"";"";"";""
"26";"304L";"bar";"longitudinal orientation";"-253";"-423";"1880";"273";"525";"75.8";"42";"41";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"304L";"bar";"longitudinal orientation";"-269";"-452";"1660";"241";"545";"79.4";"34";"56";"";"";"200";"29.2";"";"";"";"";"";"";"";"";"";""
"28";"310";"sheet";"longitudinal orientation";"24";"75";"570";"83";"240";"35";"50";"";"645";"93.9";"";"";"";"";"";"";"";"";"";"";"";""
"29";"310";"sheet";"longitudinal orientation";"-196";"-320";"1080";"156";"545";"79.1";"68";"";"1070";"155";"";"";"";"";"";"";"";"";"";"";"";""
"30";"310";"sheet";"longitudinal orientation";"-253";"-423";"1300";"188";"715";"104";"56";"";"1250";"182";"";"";"";"";"";"";"";"";"";"";"";""
"31";"310";"sheet";"longitudinal orientation";"-269";"-452";"1230";"178";"770";"112";"58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
