sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 3. Hardening and Tempering of Tool Steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"steel";"steel type";"rate of heating";"hardening preheat temperature (°C)";"hardening preheat temperature (°F)";"hardening temperature (°C)";"hardening temperature (°F)";"time at temperature (min)";"quenching medium(a)";"tempering temperature (°C)";"tempering temperature (°F)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Molybdenum high-speed steels";"M1, M7, M10";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1175 - 1220";"2150 - 2225(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 595(c)";"1000 - 1100(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Molybdenum high-speed steels";"M2";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1190 - 1230";"2175 - 2250(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 595(c)";"1000 - 1100(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Molybdenum high-speed steels";"M3, M4, M30, M33, M34";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1205 - 1230(b)";"2200 - 2250(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 595(c)";"1000 - 1100(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Molybdenum high-speed steels";"M6";"Rapidly from preheat";"790";"1450";"1175 - 1205(b)";"2150 - 2200(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 595(c)";"1000 - 1100(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Molybdenum high-speed steels";"M36";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1220 - 1245(b)";"2225 - 2275(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 595(c)";"1000 - 1100(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Molybdenum high-speed steels";"M41";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1190 - 1215(b)";"2175 - 2220(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 595(d)";"1000 - 1100(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Molybdenum high-speed steels";"M42";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1190 - 1210(b)";"2175 - 2210(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"510 - 595(d)";"950 - 1100(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Molybdenum high-speed steels";"M43";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1190 - 1215(b)";"2175 - 2220(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"510 - 595(d)";"950 - 1100(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Molybdenum high-speed steels";"M44";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1200 - 1225(b)";"2190 - 2240(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 625(d)";"1000 - 1160(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Molybdenum high-speed steels";"M46";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1190 - 1220(b)";"2175 - 2225(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"525 - 565(d)";"975 - 1050(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Molybdenum high-speed steels";"M47";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1180 - 1205(b)";"2150 - 2200(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"525 - 595(d)";"975 - 1100(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Tungsten high-speed steels";"T1, T2, T4, T8";"Rapidly from preheat";"815 - 870";"1500 - 1600";"1260 - 1300(b)";"2300 - 2375(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 595(c)";"1000 - 1100(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Tungsten high-speed steels";"T5, T6";"Rapidly from preheat";"815 - 870";"1500 - 1600";"1275 - 1300(b)";"2325 - 2375(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 595(c)";"1000 - 1100(c)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Tungsten high-speed steels";"T15";"Rapidly from preheat";"815 - 870";"1500 - 1600";"1205 - 1260(b)";"2200 - 2300(b)";"2 - 5";"oil quench, O, air quench, A, or salt bath quench, S";"540 - 650(d)";"1000 - 1200(d)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Chromium hot-work steels";"H10";"Moderately from preheat";"815";"1500";"1010 - 1040";"1850 - 1900";"15 - 40(e)";"air quench, A";"540 - 650";"1000 - 1200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Chromium hot-work steels";"H11, H12";"Moderately from preheat";"815";"1500";"995 - 1025";"1825 - 1875";"15 - 40(e)";"air quench, A";"540 - 650";"1000 - 1200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Chromium hot-work steels";"H13";"Moderately from preheat";"815";"1500";"995 - 1040";"1825 - 1900";"15 - 40(e)";"air quench, A";"540 - 650";"1000 - 1200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Chromium hot-work steels";"H14";"Moderately from preheat";"815";"1500";"1010 - 1065";"1850 - 1950";"15 - 40(e)";"air quench, A";"540 - 650";"1000 - 1200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Chromium hot-work steels";"H19";"Moderately from preheat";"815";"1500";"1095 - 1205";"2000 - 2200";"2 - 5";"air quench, A or oil quench, O";"540 - 705";"1000 - 1300";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Molybdenum hot work steels";"H41, H43";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1095 - 1190";"2000 - 2175";"2 - 5";"oil quench, O, air quench,  A, or salt bath quench, S";"565 - 650";"1050 - 1200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Molybdenum hot work steels";"H42";"Rapidly from preheat";"730 - 845";"1350 - 1550";"1120 - 1220";"2050 - 2225";"2 - 5";"oil quench, O, A, or salt bath quench, S";"565 - 650";"1050 - 1200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Tungsten hot work steels";"H21, H22";"Rapidly from preheat";"815";"1500";"1095 - 1205";"2000 - 2200";"2 - 5";"A or oil quench, O";"595 - 675";"1100 - 1250";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Tungsten hot work steels";"H23";"Rapidly from preheat";"845";"1500";"1205 - 1260";"2200 - 2300";"2 - 5";"oil quench, O";"650 - 815";"1200 - 1500";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Tungsten hot work steels";"H24";"Rapidly from preheat";"815";"1500";"1095 - 1230";"2000 - 2250";"2 - 5";"oil quench, O";"565 - 650";"1050 - 1200";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Tungsten hot work steels";"H25";"Rapidly from preheat";"815";"1500";"1150 - 1260";"2100 - 2300";"2 - 5";"air quench, A or oil quench, oil quench, O";"565 - 675";"1050 - 1250";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Tungsten hot work steels";"H26";"Rapidly from preheat";"870";"1500";"1175 - 1260";"2150 - 2300";"2 - 5";"oil quench, O, A, or salt bath quench, S";"565 - 675";"1050 - 1250";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Medium-alloy air-hardening cold work steels";"A2";"Slowly";"790";"1450";"925 - 980";"1700 - 1800";"20 - 45";"air quench, A";"175 - 540";"350 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Medium-alloy air-hardening cold work steels";"A3";"Slowly";"790";"1450";"955 - 980";"1750 - 1800";"25 - 60";"air quench, A";"175 - 540";"350 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Medium-alloy air-hardening cold work steels";"A4";"Slowly";"675";"1250";"815 - 870";"1500 - 1600";"20 - 45";"air quench, A";"175 - 425";"350 - 800";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Medium-alloy air-hardening cold work steels";"A6";"Slowly";"650";"1200";"830 - 870";"1525 - 1600";"20 - 45";"air quench, A";"150 - 425";"300 - 800";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Medium-alloy air-hardening cold work steels";"A7";"Very slowly";"815";"1500";"955 - 980";"1750 - 1800";"30 - 60";"air quench, A";"150 - 540";"300 - 1000";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Medium-alloy air-hardening cold work steels";"A8";"Slowly";"790";"1450";"980 - 1010";"1800 - 1850";"20 - 45";"air quench, A";"175 - 595";"350 - 1100";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Medium-alloy air-hardening cold work steels";"A9";"Slowly";"790";"1450";"980 - 1025";"1800 - 1875";"20 - 45";"air quench, A";"510 - 620";"950 - 1150";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Medium-alloy air-hardening cold work steels";"AI0";"Slowly";"650";"1200";"790 - 815";"1450 - 1500";"30 - 60";"air quench, A";"175 - 425";"350 - 800";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Oil-hardening cold work steels";"O1";"Slowly";"650";"1200";"790 - 815";"1450 - 1500";"10 - 30";"oil quench, O";"175 - 260";"350 - 500";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Oil-hardening cold work steels";"O2";"Slowly";"650";"1200";"760 - 800";"1400 - 1475";"5 - 20";"oil quench, O";"175 - 260";"350 - 500";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Oil-hardening cold work steels";"O6";"Slowly";"";"";"790 - 815";"1450 - 1500";"10 - 30";"oil quench, O";"175 - 315";"350 - 600";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Oil-hardening cold work steels";"O7";"Slowly";"650";"1200";"790 - 830";"water quench, W: 1450 - 1525";"10 - 30";"oil quench, O or water quench, W";"175 - 290";"350 - 550";"";"";"";"";"";"";"";"";"";"";"";"";"";""
