sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 1. Steel Hardness for Various Carbon Contents and Percentages of Martensite for Some Low-Alloy Steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"carbon, C content (%)";"Rockwell C hardness (HRC) with 50% martensite (unitless)";"Rockwell C hardness (HRC) with 80% martensite (unitless)";"Rockwell C hardness (HRC) with  90% martensite (unitless)";"Rockwell C hardness (HRC) with 95% martensite (unitless)";"Rockwell C hardness (HRC) with  99.9% martensite (unitless)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"0.18";"31";"35";"37.5";"39";"43";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"0.23";"34";"37.5";"40.5";"42";"46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"0.28";"36.5";"40.5";"43";"44.5";"49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"0.33";"39";"43.5";"46.5";"48.5";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"0.38";"42";"46";"49";"51";"54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"0.43";"44";"48";"51";"53.5";"57";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"0.48";"46.5";"52";"54";"57";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
