sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 3. Hardness of various steels and section sizes of austempered parts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"steel";"section size (mm)";"section size (in)";"salt temperature (°C)";"salt temperature (°F)";"calculated values of martensite starts temperature, Ms (°C)";"calculated values of martensite starts temperature, Ms (°F)";"hardness, HRC (unitless)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1050";"3 (Sheet thickness)";"0.125 (Sheet thickness)";"345";"655";"320";"610";"41 - 47";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"1065";"5 (Diameter of section)";"0.187 (Diameter of section)";"(d)";"(d)";"275";"525";"53 - 56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"1066";"7 (Diameter of section)";"0.281 (Diameter of section)";"(d)";"(d)";"260";"500";"53 - 56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"1084";"6 (Diameter of section)";"0.218 (Diameter of section)";"(d)";"(d)";"200";"395";"55 - 58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"1086";"13 (Diameter of section)";"0.516 (Diameter of section)";"(d)";"(d)";"215";"420";"55 - 58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"1090";"5 (Diameter of section)";"0.187 (Diameter of section)";"(d)";"(d)";"";"";"57 - 60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"1090(e)";"20 (Diameter of section)";"0.820 (Diameter of section)";"315 (Salt with water additions)";"600 (Salt with water additions)";"";"";"44.5 (avg)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"1095";"4 (Diameter of section)";"0.148 (Diameter of section)";"(d)";"(d)";"210 (Experimental value)";"410 (Experimental value)";"57 - 60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"1350";"16 (Diameter of section)";"0.625 (Diameter of section)";"(d)";"(d)";"235";"450";"53 - 56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"4063";"16 (Diameter of section)";"0.625 (Diameter of section)";"(d)";"(d)";"245";"475";"53 - 56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"4150";"13 (Diameter of section)";"0.500 (Diameter of section)";"(d)";"(d)";"285";"545";"52 max";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"4365";"25 (Diameter of section)";"1.000 (Diameter of section)";"(d)";"(d)";"210";"410";"54 max";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"5140";"3 (Sheet thickness)";"0.125 (Sheet thickness)";"345";"655";"330";"630";"43 - 48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"5160(e)";"26 (Diameter of section)";"1.035 (Diameter of section)";"315 (Salt with water additions)";"600 (Salt with water additions)";"255";"490";"46.7 (avg)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"8750";"3 (Sheet thickness)";"0.125 (Sheet thickness)";"315";"600";"285";"545";"47 - 48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"50100";"8 (Diameter of section)";"0.312 (Diameter of section)";"(d)";"(d)";"";"";"57 - 60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
