sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 16. Plane-Strain Fracture Toughness of D-6AC in the Long Transverse Direction";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"condition for plate and forging";"product form";"plane-strain fracture toughness range, KIC (MPa m0.5)";"plane-strain fracture toughness range, KIC (ksi in0.5)";"average plane-strain fracture toughness, KIC (MPa m0.5)";"average plane-strain fracture toughness, KIC (ksi in0.5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Quench in 60 °C oil, Austenitize at 925 °C (1700 °F), aus-bay quench to 525 °C (975 °F) in furnace, quench in 60 °C (140 °F) oil, temper 2 + 2 h at 540 °C (1000 °F), and air cool, AC";"2 mm (0.8 in.) plate 2 mm (0.8 in.) and 40-45 mm (1.5-1.8 in.) forging (consumable-electrode vacuum remelted, CVM)";"91 - 112";"83 - 102";"104 (Average of 21 tests)";"95 (Average of 21 tests)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Quench in 60 °C oil, Austenitize at 925 °C (1700 °F), aus-bay quench to 525 °C (975 °F) in furnace, quench in 60 °C (140 °F) oil, temper 2 + 2 h at 540 °C (1000 °F), and air cool, AC";"2 mm (0.8 in.) plate 2 mm (0.8 in.) and 40-45 mm (1.5-1.8 in.) forging (consumable-electrode vacuum remelted, CVM)";"93 - 120";"85 - 109";"104 (Average of 34 tests)";"95 (Average of 34 tests)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Slack quench, Austenitize at 900 °C (1650 °F), aus-bay quench to 525 °C (975 °F) in furnace, quench in 205 °C (400 °F) salt, temper 2 + 2 h at 540 to 550 °C (1000 to 1025 °F), and air cool, AC";"2mm (0.8 in.) plate 2 mm (0.8 in.) and 40-45 mm (1.5-1.8 in.) forging (consumable-electrode vacuum remelted, CVM)";"48 - 100";"44 - 91";"70 (Average of 82 tests)";"64 (Average of 82 tests)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Slack quench, Austenitize at 900 °C (1650 °F), aus-bay quench to 525 °C (975 °F) in furnace, quench in 205 °C (400 °F) salt, temper 2 + 2 h at 540 to 550 °C (1000 to 1025 °F), and air cool, AC";"2mm (0.8 in.) plate 2 mm (0.8 in.) and 40-45 mm (1.5-1.8 in.) forging (consumable-electrode vacuum remelted, CVM)";"52 - 105";"47 - 96";"71 (Average of 60 tests)";"65 (Average of 60 tests)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
