sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 3. Properties of Selected Carbon and Alloy Steels in the Hot-Rolled, Normalized, and Annealed Conditions";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"American Iron and Steel Institute, AISI grade";"condition or treatment";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 50 mm or 2 in. specimen (%)";"reduction in area (%)";"hardness, HB (unitless)";"Izod impact strength (J)";"Izod impact strength (lbf ft)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1015";"As-rolled";"420";"61";"315";"46";"39";"61";"126";"111";"82";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"1015";"Normalized at 925 °C (1700 °F)";"425";"62";"325";"47";"37";"70";"121";"115";"85";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"1015";"Annealed at 870 °C (1600 °F)";"385";"56";"285";"41";"37";"70";"111";"115";"85";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"1020";"As-rolled";"450";"65";"330";"48";"36";"59";"143";"87";"64";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"1020";"Normalized at 870 °C (1600 °F)";"440";"64";"345";"50";"35.8";"68";"131";"118";"87";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"1020";"Annealed at 870 °C (1600 °F)";"395";"57";"295";"43";"36.5";"66";"111";"123";"91";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"1022";"As-rolled";"505";"73";"360";"52";"35";"67";"149";"81";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"1022";"Normalized at 925 °C (1700 °F)";"485";"70";"360";"52";"34";"68";"143";"117";"87";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"1022";"Annealed at 870 °C (1600 °F)";"450";"65";"315";"46";"35";"64";"137";"121";"89";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"1030";"As-rolled";"550";"80";"345";"50";"32";"57";"179";"75";"55";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"1030";"Normalized at 925 °C (1700 °F)";"525";"76";"345";"50";"32";"61";"149";"94";"69";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"1030";"Annealed at 845 °C (1550 °F)";"460";"67";"345";"50";"31.2";"58";"126";"69";"51";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"1040";"As-rolled";"620";"90";"415";"60";"25";"50";"201";"49";"36";"";"";"";"";"";"";"";"";"";"";"";"";"";""
