sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 3. Typical Austenitizing and Martempering Temperatures for Various Steels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"steel type";"grade";"austenitizing temperature (°C)";"austenitizing temperature (°F)";"martempering temperature of oil(a) (°C)";"martempering temperature of oil(a) (°F)";"martempering temperature of salt(b) (°C)";"martempering temperature of salt(b) (°F)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Through-hardening steels";"1024";"870";"1600";"135";"275";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Through-hardening steels";"1070";"845";"1550";"175";"350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Through-hardening steels";"1146";"815";"1500";"175";"350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Through-hardening steels";"1330";"845";"1550";"175";"350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Through-hardening steels";"4063";"845";"1550";"175";"350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Through-hardening steels";"4130";"845";"1550";"";"";"205 - 260";"400 - 500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Through-hardening steels";"4140";"845";"1550";"150";"300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Through-hardening steels";"4140";"830";"1525";"";"";"230 - 275";"450 - 525";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Through-hardening steels";"4340, 4350";"815";"1500";"";"";"230 - 275";"450 - 525";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Through-hardening steels";"52100";"855";"1575";"190";"375";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Through-hardening steels";"52100";"845";"1550";"";"";"175 - 245";"350 - 475";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Through-hardening steels";"8740";"830";"1525";"";"";"230 - 275";"450 - 525";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Carburizing steels";"3312";"815";"1500";"";"";"175 - 190";"350 - 375";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Carburizing steels";"4320";"830";"1525";"";"";"175 - 190";"350 - 375";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Carburizing steels";"4615";"955";"1750";"190";"375";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Carburizing steels";"4720";"845";"1550";"";"";"175 - 190";"350 - 375";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Carburizing steels";"8617, 8620";"925";"1700";"150";"300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Carburizing steels";"8620";"855";"1575";"";"";"175 - 190";"350 - 375";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Carburizing steels";"9310";"815";"1500";"";"";"175 - 190";"350 - 375";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
