sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 13. Typical Fracture Toughness of D-6AC with Either Electric Arc Furnace - Vacuum Arc Remelting, EAF-VAR or Electric Arc Furnace - Argon Oxygen Decarburization, EAF-AOD-VAR Steel-Making Methods";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"steel making methods";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 50 mm (2 in.) (%)";"reduction in area (%)";"fracture toughness (MPa m0.5)";"fracture toughness (ksi in0.5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Electric Arc Furnace/Vacuum Arc Remelting, EAF/VAR 5 - Heat average";"1434";"208";"1324";"192";"14";"50";"110";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Electric Arc Furnace/Vacuum Arc Remelting, EAF/VAR 5 - Heat range";"1373 - 1469";"199 - 213";"1270 - 1352";"184 - 196";"14 - 15";"48 - 52";"107 - 114";"98 - 104";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Electric Arc Furnace/Argon Oxygen Decarburization/Vacuum Arc Remelting, EAF/AOD/VAR 5 - Heat average";"1448";"210";"1345";"195";"14";"52";"122";"111";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Electric Arc Furnace/Argon Oxygen Decarburization/Vacuum Arc Remelting, EAF/AOD/VAR 5 - Heat range";"1435 - 1462";"208 - 212";"1330 - 1365";"193 - 198";"14 - 15";"51 - 53";"114 - 127";"104 - 116";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
