sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 1. Typical Hardnesses of Various Carbon and Alloy Steels after Tempering";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"steels types";"grade";"carbon content (%)";"Hardness, HRC, after tempering for 2 h at 205 °C (400 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 260 °C (500 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 315 °C (600 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 370 °C (700 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 425 °C (800 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 480 °C (900 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 540 °C (1000 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 595 °C (1100 &degF) (unitless)";"Hardness, HRC, after tempering for 2 h at 650 °C (1200 &degF) (unitless)";"heat treatment";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Carbon steels, water hardening";"1030";"0.3";"50";"45";"43";"39";"31";"28";"25";"22";"95(a)";"Normalized at 900 °C (1650 °F), water quenched from 830-845 °C (1525-1550 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Carbon steels, water hardening";"1040";"0.4";"51";"48";"46";"42";"37";"30";"27";"22";"94(a)";"Normalized at 900 °C (1650 °F), water quenched from 830-845 °C (1525-1550 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Carbon steels, water hardening";"1050";"0.5";"52";"50";"46";"44";"40";"37";"31";"29";"22";"Normalized at 900 °C (1650 °F), water quenched from 830-845 °C (1525-1550 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Carbon steels, water hardening";"1060";"0.6";"56";"55";"50";"42";"38";"37";"35";"33";"26";"Normalized at 885 °C (1625 °F), water quenched from 800-815 °C (1475-1500 °F); average dew point, 7 °C (45 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Carbon steels, water hardening";"1080";"0.8";"57";"55";"50";"43";"41";"40";"39";"38";"32";"Normalized at 885 °C (1625 °F), water quenched from 800-815 °C (1475-1500 °F); average dew point, 7 °C (45 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Carbon steels, water hardening";"1095";"0.95";"58";"57";"52";"47";"43";"42";"41";"40";"33";"Normalized at 885 °C (1625 °F), water quenched from 800-815 °C (1475-1500 °F); average dew point, 7 °C (45 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Carbon steels, water hardening";"1137";"0.4";"44";"42";"40";"37";"33";"30";"27";"21";"91(a)";"Normalized at 900 °C (1650 °F), water quenched from 830-855 °C (1525-1575 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Carbon steels, water hardening";"1141";"0.4";"49";"46";"43";"41";"38";"34";"28";"23";"94(a)";"Normalized at 900 °C (1650 °F), water quenched from 830-855 °C (1525-1575 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Carbon steels, water hardening";"1144";"0.4";"55";"50";"47";"45";"39";"32";"29";"25";"97(a)";"Normalized at 900 °C (1650 °F), water quenched from 830-855 °C (1525-1575 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy steels, water hardening";"1330";"0.3";"47";"44";"42";"38";"35";"32";"26";"22";"16";"Normalized at 900 °C (1650 °F), water quenched from 800-815 °C (1475-1500 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy steels, water hardening";"2330";"0.3";"47";"44";"42";"38";"35";"32";"26";"22";"16";"Normalized at 900 °C (1650 °F), water quenched from 800-815 °C (1475-1500 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy steels, water hardening";"3130";"0.3";"47";"44";"42";"38";"35";"32";"26";"22";"16";"Normalized at 900 °C (1650 °F), water quenched from 800-815 °C (1475-1500 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy steels, water hardening";"4130";"0.3";"47";"45";"43";"42";"38";"34";"32";"26";"22";"Normalized at 885 °C (1625 °F), water quenched from 800-855 °C (1475-1575 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy steels, water hardening";"5130";"0.3";"47";"45";"43";"42";"38";"34";"32";"26";"22";"Normalized at 885 °C (1625 °F), water quenched from 800-855 °C (1475-1575 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy steels, water hardening";"8630";"0.3";"47";"45";"43";"42";"38";"34";"32";"26";"22";"Normalized at 885 °C (1625 °F), water quenched from 800-855 °C (1475-1575 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy steels, oil hardening";"1340";"0.4";"57";"53";"50";"46";"44";"41";"38";"35";"31";"Normalized at 870 °C (1600 °F), oil quenched from 830-845 °C (1525-1550 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Alloy steels, oil hardening";"3140";"0.4";"55";"52";"49";"47";"41";"37";"33";"30";"26";"Normalized at 870 °C (1600 °F), oil quenched from 830-845 °C (1525-1550 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Alloy steels, oil hardening";"4140";"0.4";"57";"53";"50";"47";"45";"41";"36";"33";"29";"Normalized at 870 °C (1600 °F), oil quenched from 830-845 °C (1525-1550 °F); average dew point, 16 °C (60 °F)";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Alloy steels, oil hardening";"4340";"0.4";"55";"52";"50";"48";"45";"42";"39";"34";"31";"Normalized at 870 °C (1600 °F), oil quenched from 830-845 °C (1525-1575 °F); average dew point, 13 °C (55 °F)";"";"";"";"";"";"";"";"";"";"";"";""
