sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 21. Typical Longitudinal Mechanical Properties of H11 Mod Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"tempering temperature (°C)";"tempering temperature (°F)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 50 mm (2 in.) (%)";"reduction in area (%)";"Charpy V-notch impact energy (J)";"Charpy V-notch impact energy (lbf ft)";"hardness, HRC (unitless)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"510";"950";"2120";"308";"1710";"248";"5.9";"29.5";"13.6";"10";"56.5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"540";"1000";"2010";"291";"1675";"243";"9.6";"30.6";"21";"15.5";"56";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"565";"1050";"1850";"269";"1565";"227";"11";"34.5";"26.4";"19.5";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"595";"1100";"1540";"223";"1320";"192";"13.1";"39.3";"31.2";"23";"45";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"650";"1200";"1060";"154";"850";"124";"14.1";"41.2";"40";"29.5";"33";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"705";"1300";"940";"136";"700";"101";"16.4";"42.2";"90.6";"66.8";"29";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
