sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 23. Typical Room-Temperature Longitudinal Mechanical Properties of H13 Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"tempering temperature (°C)";"tempering temperature (°F)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 4 D (%)";"reduction in area (%)";"Charpy V-notch impact energy (J)";"Charpy V-notch impact energy (lbf ft)";"hardness, HRC (unitless)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"527";"980";"1960";"284";"1570";"228";"13";"46.2";"16";"12";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"555";"1030";"1835";"266";"1530";"222";"13.1";"50.1";"24";"18";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"575";"1065";"1730";"251";"1470";"213";"13.5";"52.4";"27";"20";"48";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"593";"1100";"1580";"229";"1365";"198";"14.4";"53.7";"28.5";"21";"46";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"605";"1120";"1495";"217";"1290";"187";"15.4";"54";"30";"22";"44";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
