sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 6. Typical Mechanical Properties of Standard 18 Nickel, Ni Maraging Steels in the Age-Hardened Condition";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"grade";"heat treatment(a)";"yield strength (MPa)";"yield strength (ksi)";"tensile strength (MPa)";"tensile strength (ksi)";"elongation in 50 mm (2 in.) (%)";"reduction in area (%)";"fracture toughness (MPa m0.5)";"fracture toughness (ksi in0.5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"18 Nickel, Ni Marage 200";"A";"1400";"203";"1500";"218";"10";"60";"155 - 220";"140 - 220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"18 Nickel, Ni  Marage 250";"A";"1700";"247";"1800";"260";"8";"55";"120";"110";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"18 Nickel, Ni  Marage 300";"A";"2000";"290";"2050";"297";"7";"40";"80";"73";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"18 Nickel, Ni  Marage 350";"B";"2400";"348";"2450";"355";"6";"25";"35 - 50";"32 - 45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"18 Nickel, Ni  Marage Cast";"C";"1650";"240";"1750";"255";"8";"35";"105";"95";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
