sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 3. Typical Range of Mechanical Properties Developed in Unaged 18 Nickel, Ni Maraging Steels after Solution Annealing [815 °C (1500 °F), 1 h, Air Cooled]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"alloy";"yield strength (MPa)";"yield strength (ksi)";"tensile strength (MPa)";"tensile strength (ksi)";"elongation (%)";"reduction in area (%)";"hardness , HRC (unitless)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"18 Nickel, Ni Marage 200";"760 - 807";"110 - 117";"965 - 1000";"140 - 145";"17 - 18";"72 - 79";"28 - 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"18 Nickel, Ni Marage 250";"725 - 895";"105 - 130";"1000 - 1140";"145 - 165";"8 - 16";"55 - 70";"28 - 35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"18 Nickel, Ni Marage 300";"760 - 895";"110 - 130";"1000 - 1170";"145 - 170";"6 - 15";"45 - 60";"30 - 37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
