sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 11. Typical Mechanical Properties of 300M Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"tempering temperature (°C)";"tempering temperature (°F)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 50 mm (2 in.) (%)";"reduction in area (%)";"Charpy v-notch impact energy (J)";"Charpy v-notch impact energy (lbf ft)";"hardness, HRC (unitless)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"90";"200";"2340";"340";"1240";"180";"6";"10";"17.6";"13";"56";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"205";"400";"2140";"310";"1650";"240";"7";"27";"21.7";"16";"54.5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"260";"500";"2050";"297";"1670";"242";"8";"32";"24.4";"18";"54";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"315";"600";"1990";"289";"1690";"245";"9.5";"34";"29.8";"22";"53";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"370";"700";"1930";"280";"1620";"235";"9";"32";"23.7";"17.5";"51";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"425";"800";"1790";"260";"1480";"215";"8.5";"23";"13.6";"10";"45.5";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
