sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 3. Typical Mechanical Properties of Heat-Treated 4130 Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"condition";"tempering temperature (°C)";"tempering temperature (°F)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 50 mm (2 in.) (%)";"reduction in area (%)";"hardness, HB (unitless)";"Izod impact energy (J)";"Izod impact energy (lbf ft)";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Water quenched and tempered(a)";"205";"400";"1765";"256";"1520";"220";"10";"33";"475";"18";"13";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Water quenched and tempered(a)";"260";"500";"1670";"242";"1430";"208";"11.5";"37";"455";"14";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Water quenched and tempered(a)";"315";"600";"1570";"228";"1340";"195";"13";"41";"425";"14";"l0";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Water quenched and tempered(a)";"370";"700";"1475";"214";"1250";"182";"15";"45";"400";"20";"15";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Water quenched and tempered(a)";"425";"800";"1380";"200";"1170";"170";"16.5";"49";"375";"34";"25";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Water quenched and tempered(a)";"540";"1000";"1170";"170";"1000";"145";"20";"56";"325";"81";"60";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Water quenched and tempered(a)";"650";"1200";"965";"140";"830";"120";"22";"63";"270";"135";"100";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Oil quenched and tempered(b)";"205";"400";"1550";"225";"1340";"195";"11";"38";"450";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Oil quenched and tempered(b)";"260";"500";"1500";"218";"1275";"185";"11.5";"40";"440";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Oil quenched and tempered(b)";"315";"600";"1420";"206";"1210";"175";"12.5";"43";"418";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Oil quenched and tempered(b)";"370";"700";"1320";"192";"1120";"162";"14.5";"48";"385";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Oil quenched and tempered(b)";"425";"800";"1230";"178";"1030";"150";"16.5";"54";"360";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Oil quenched and tempered(b)";"540";"1000";"1030";"150";"840";"122";"20";"60";"305";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Oil quenched and tempered(b)";"650";"1200";"830";"120";"670";"97";"24";"67";"250";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
