sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 19. Typical Room-Temperature Mechanical Properties of 8640 Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material";"tempering temperature (°C)";"tempering temperature (°F)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 50 mm (2 in.) (%)";"reduction in area (%)";"impact energy (J)";"impact energy (lbf ft)";"hardness, HB (unitless)";"hardness, HRC (unitless)";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Round bars, 13.5 mm (0.53 in.) in diameter(a)";"205";"400";"1810";"263";"1670";"242";"8";"25.8";"11.5 (Izod)";"8.5 (Izod)";"555";"55";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Round bars, 13.5 mm (0.53 in.) in diameter(a)";"315";"600";"1585";"230";"1430";"208";"9";"37.3";"15.6 (Izod)";"11.5 (Izod)";"461";"48";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Round bars, 13.5 mm (0.53 in.) in diameter(a)";"425";"800";"1380";"200";"1230";"179";"10.5";"46.3";"27.8 (Izod)";"20.5 (Izod)";"415";"44";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Round bars, 13.5 mm (0.53 in.) in diameter(a)";"540";"1000";"1170";"170";"1050";"152";"14";"53.3";"56.3 (Izod)";"41.5 (Izod)";"341";"37";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Round bars, 13.5 mm (0.53 in.) in diameter(a)";"650";"1200";"870";"126";"760";"110";"20.5";"61";"96.9 (Izod)";"71.5 (Izod)";"269";"28";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Round bars, 25 mm (1 in.) in diameter(a)";"425";"800";"1382";"200.5";"1230";"179";"10";"46";"27 (Charpy V-notch)";"20 (Charpy V-notch)";"415";"44";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Round bars, 25 mm (1 in.) in diameter(a)";"480";"900";"1250";"181";"1120";"162";"13";"51";"41 (Charpy V-notch)";"30 (Charpy V-notch)";"388";"42";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Round bars, 25 mm (1 in.) in diameter(a)";"540";"1000";"1070";"155";"940";"137";"17";"56";"54 (Charpy V-notch)";"40 (Charpy V-notch)";"331";"36";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Round bars, 25 mm (1 in.) in diameter(a)";"595";"1100";"1020";"148";"910";"132";"16";"57";"73 (Charpy V-notch)";"54 (Charpy V-notch)";"302";"32";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Round bars, 25 mm (1 in.) in diameter(a)";"650";"1200";"865";"125.5";"760";"110.5";"20";"61";"83 (Charpy V-notch)";"61 (Charpy V-notch)";"269";"28";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
