sep=;
"Title: ASM Handbook, Volume 04 - Heat Treating";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 17. Typical Room-Temperature Tensile Properties of Heat-Treated 6150 Steel";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material";"tempering temperature (°C)";"tempering temperature (°F)";"tensile strength (MPa)";"tensile strength (ksi)";"yield strength (MPa)";"yield strength (ksi)";"elongation in 50 mm (2 in.) (%)";"reduction in area (%)";"hardness, HB (unitless)";"Izod impact energy (J)";"Izod impact energy (lbf ft)";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Round bars, 14 mm (0.55 in.) in diameter(a)";"205";"400";"2050";"298";"1810";"263";"1";"5";"610";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Round bars, 14 mm (0.55 in.) in diameter(a)";"260";"500";"2070";"300";"1810";"263";"4";"12";"570";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Round bars, 14 mm (0.55 in.) in diameter(a)";"315";"600";"1950";"283";"1720";"250";"7";"27";"540";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Round bars, 14 mm (0.55 in.) in diameter(a)";"370";"700";"1770";"257";"1620";"235";"10";"37";"505";"9";"7";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Round bars, 14 mm (0.55 in.) in diameter(a)";"425";"800";"1585";"230";"1490";"216";"11";"42";"470";"14";"10";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Round bars, 14 mm (0.55 in.) in diameter(a)";"480";"900";"1410";"204";"1340";"195";"12";"44";"420";"16";"12";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Round bars, 14 mm (0.55 in.) in diameter(a)";"540";"1000";"1250";"182";"1210";"175";"13";"46";"380";"20";"15";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Round bars, 14 mm (0.55 in.) in diameter(a)";"595";"1100";"1150";"167";"1080";"157";"16";"47";"350";"28";"21";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Round bars, 25 mm (1 in.) in diameter(b)";"425";"800";"1570";"228";"1450";"210";"10";"37";"461";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Round bars, 25 mm (1 in.) in diameter(b)";"480";"900";"1360";"197";"1210";"175";"11";"41";"401";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Round bars, 25 mm (1 in.) in diameter(b)";"540";"1000";"1180";"171";"1030";"150";"12";"45";"341";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Round bars, 25 mm (1 in.) in diameter(b)";"595";"1100";"1030";"150";"875";"127";"15";"50";"302";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Round bars, 25 mm (1 in.) in diameter(b)";"650";"1200";"920";"133";"760";"110";"19";"55";"262";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Round bars, 25 mm (1 in.) in diameter(b)";"705";"1300";"810";"118";"660";"96";"23";"61";"235";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ASM Handbook, Volume 04 - Heat Treating © 1991 ASM International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
